Latitude,Longitude,Demand_Forecast,Traffic_Status,Waiting_Time,Traffic_Encoded,Cluster_ID
-46.1616,-46.6401,169,Detour,50,2,14
33.8716,36.8753,127,Heavy,39,3,12
35.7136,-23.1356,156,Clear,51,1,3
36.3858,-107.3894,138,Heavy,39,3,7
26.6125,25.4788,105,Heavy,28,3,7
-84.8915,57.5714,254,Clear,41,1,16
-49.6846,-63.2892,248,Clear,56,1,16
14.7474,-2.5245,151,Detour,25,2,1
-8.6011,-63.1274,272,Clear,59,1,16
67.2149,117.9203,105,Heavy,23,3,7
-11.3392,-69.3395,125,Heavy,53,3,14
26.3763,157.0905,214,Clear,19,1,9
-13.469,75.3408,217,Heavy,26,3,10
-11.2424,-4.5638,262,Detour,21,2,8
62.6559,18.8474,151,Detour,29,2,1
60.8032,-179.5906,165,Heavy,26,3,7
-10.0451,79.8956,136,Detour,35,2,6
17.6483,114.2638,233,Detour,51,2,4
-51.9233,-57.5858,137,Clear,18,1,11
22.3898,3.8948,169,Clear,38,1,3
86.3368,29.4478,150,Detour,41,2,12
-14.6662,-88.3674,140,Heavy,43,3,14
-71.9057,-41.4314,117,Heavy,47,3,14
54.8888,7.4287,298,Clear,31,1,15
-89.7915,85.8036,141,Detour,44,2,6
39.9088,71.9595,202,Heavy,46,3,0
30.7119,111.5767,263,Clear,55,1,17
5.7076,-79.9256,274,Detour,39,2,5
69.0509,91.848,223,Clear,24,1,9
52.7828,176.0671,285,Clear,24,1,8
42.967,146.1358,242,Detour,41,2,8
-11.9943,-126.8743,273,Detour,42,2,5
60.5903,-90.0415,228,Clear,59,1,4
-23.2982,143.8634,296,Clear,49,1,17
-34.2189,-36.6288,100,Heavy,18,3,7
19.545,73.0968,106,Detour,38,2,6
33.3351,-103.926,225,Detour,54,2,4
-63.2064,30.0818,284,Clear,19,1,2
83.2858,-66.1069,226,Detour,60,2,4
-23.2424,18.6206,149,Clear,38,1,3
-89.0793,130.3362,281,Detour,35,2,8
-11.2908,-105.2515,226,Detour,36,2,5
0.3773,-13.6838,298,Detour,46,2,5
-7.77,163.5958,174,Heavy,50,3,12
-80.1222,-56.1497,181,Heavy,53,3,14
-84.8041,57.168,136,Heavy,45,3,14
-13.1475,-1.0702,109,Heavy,32,3,7
-87.5547,113.4629,177,Detour,20,2,9
72.9066,36.1965,184,Heavy,51,3,12
16.1951,-119.4492,220,Clear,30,1,15
28.3461,-1.5547,137,Heavy,18,3,7
-35.5663,47.4028,111,Clear,15,1,11
-33.246,106.3248,173,Heavy,55,3,14
10.2059,98.618,278,Heavy,54,3,0
-6.2311,173.6264,281,Heavy,17,3,13
-78.1094,-52.5435,264,Heavy,25,3,13
-70.3645,-128.8622,126,Detour,40,2,6
18.1183,116.4939,151,Heavy,10,3,7
20.2969,124.1885,283,Detour,41,2,8
-27.7387,19.6189,298,Detour,46,2,5
-31.1328,175.8453,110,Clear,29,1,11
24.8353,-83.7173,107,Clear,43,1,3
-32.724,82.9577,248,Detour,52,2,5
72.122,89.9728,296,Heavy,32,3,13
-7.636,51.0615,294,Clear,59,1,17
-24.0118,111.4726,276,Detour,23,2,8
77.0042,-12.2919,189,Heavy,18,3,10
-38.6867,-19.9939,214,Clear,16,1,2
41.375,77.2949,236,Clear,46,1,17
-68.4651,179.4433,107,Detour,30,2,6
-13.0063,0.5345,114,Heavy,30,3,7
41.3066,161.1462,262,Heavy,39,3,0
-23.1011,-54.5176,262,Detour,44,2,5
-17.6088,-41.4304,176,Detour,26,2,1
-72.4492,131.8524,152,Detour,59,2,6
27.3601,-105.0457,149,Clear,49,1,3
-86.5291,-36.5789,127,Clear,56,1,3
10.2078,36.857,145,Detour,22,2,1
-42.6759,-7.9818,119,Heavy,45,3,14
36.2494,143.1951,272,Detour,28,2,8
28.9964,151.6114,270,Detour,34,2,8
-22.1005,-38.8449,118,Detour,48,2,6
47.2803,32.1356,230,Heavy,23,3,10
-25.4692,-70.7603,117,Detour,24,2,1
20.1451,158.7402,115,Detour,57,2,12
-29.2726,149.6329,115,Detour,21,2,6
-82.3942,179.9237,191,Heavy,24,3,10
37.3932,53.447,208,Detour,34,2,9
-3.4094,-85.8774,166,Clear,60,1,3
-60.2782,-7.5464,252,Clear,20,1,2
-1.8123,-156.207,110,Heavy,26,3,7
45.553,20.9015,150,Detour,27,2,1
-28.382,-47.8231,131,Clear,22,1,11
-71.0852,-12.9187,277,Clear,20,1,2
-35.6424,-106.7595,256,Heavy,18,3,13
-81.622,-152.0754,212,Heavy,41,3,14
-22.9111,-154.3594,131,Clear,49,1,3
-68.7937,-164.3866,186,Heavy,51,3,14
-25.5794,132.2662,272,Clear,51,1,17
49.0465,41.3428,272,Heavy,19,3,13
-81.6677,-40.8327,126,Detour,49,2,6
-69.6887,-34.4563,220,Clear,33,1,16
-49.1811,-94.1515,249,Clear,57,1,16
12.8172,76.1408,175,Clear,30,1,9
20.1146,19.7583,158,Clear,55,1,3
84.1317,-144.784,162,Heavy,46,3,12
-53.9329,30.3236,235,Clear,15,1,2
31.8571,-83.1698,138,Detour,39,2,1
67.7302,-70.1861,246,Heavy,40,3,0
73.3723,93.2464,179,Detour,35,2,9
68.2361,-85.9216,282,Clear,18,1,15
40.5478,147.0261,201,Clear,52,1,4
-36.4299,58.0595,102,Detour,33,2,6
83.2003,-119.0412,103,Clear,18,1,11
74.5816,-19.6986,154,Clear,23,1,11
-64.7094,137.791,191,Clear,10,1,9
-59.602,62.712,246,Clear,60,1,16
-68.3712,-65.9802,257,Heavy,51,3,0
3.8431,91.0078,127,Heavy,57,3,12
76.3946,105.7941,116,Heavy,42,3,12
-46.1871,9.4679,158,Heavy,35,3,14
-10.8849,86.0812,130,Clear,12,1,11
-67.7619,176.4012,237,Clear,15,1,2
-22.1101,-65.135,162,Detour,24,2,1
75.1113,-136.48,280,Clear,50,1,15
-69.343,131.9033,112,Heavy,55,3,6
35.6522,-84.7025,278,Clear,32,1,15
-86.157,-92.4652,211,Detour,13,2,2
25.1355,-2.6802,206,Clear,19,1,9
12.0938,96.8996,286,Detour,31,2,8
-77.0862,137.9042,139,Clear,42,1,3
-17.1205,-47.0657,246,Detour,40,2,5
-52.8874,162.7464,233,Detour,17,2,9
-3.6578,176.299,206,Clear,28,1,9
-7.6641,-25.3717,112,Heavy,55,3,12
-82.1416,-91.8925,209,Clear,24,1,2
87.5079,-125.5319,147,Clear,22,1,1
-76.8771,94.6166,154,Heavy,44,3,14
89.2765,166.6548,229,Heavy,35,3,0
-82.8546,7.876,249,Clear,57,1,16
-40.284,-86.8089,110,Heavy,33,3,7
2.2208,-170.2641,140,Heavy,36,3,7
54.8423,175.5701,269,Heavy,26,3,13
-78.4723,-82.615,213,Detour,23,2,2
4.8496,-60.7988,271,Heavy,24,3,13
54.0342,-98.3083,124,Heavy,33,3,7
41.43,-128.1678,217,Heavy,27,3,10
-56.0674,82.9431,272,Clear,32,1,2
-0.8539,-177.5496,181,Clear,44,1,3
54.5973,-128.4974,243,Clear,12,1,15
-46.1457,161.0254,231,Detour,52,2,4
76.8391,140.3011,279,Detour,24,2,8
-59.1914,-125.4515,249,Detour,42,2,5
-75.6177,-156.976,185,Detour,35,2,14
-24.1694,30.0335,105,Detour,47,2,6
-6.8584,150.6127,263,Clear,18,1,2
-32.2146,166.7941,227,Detour,51,2,4
-46.3051,-93.1541,292,Detour,60,2,5
-85.0859,41.138,246,Clear,47,1,16
89.1858,-159.3242,290,Detour,16,2,15
1.429,-119.0925,184,Detour,10,2,1
78.3252,15.2758,100,Heavy,53,3,12
-9.2287,107.9306,188,Detour,53,2,4
71.4327,127.3664,206,Heavy,16,3,10
-84.0049,111.8327,200,Heavy,23,3,10
7.0779,-165.136,263,Clear,15,1,15
-86.0858,117.8697,101,Detour,43,2,6
59.2432,175.9873,127,Heavy,57,3,12
-39.3003,-121.6771,268,Heavy,51,3,0
-83.672,164.2522,221,Clear,24,1,9
5.9541,-156.4873,198,Detour,15,2,1
-16.3804,-119.0546,271,Heavy,22,3,13
-27.4913,-1.8571,131,Heavy,33,3,7
67.7002,43.853,261,Detour,57,2,4
30.5045,52.2559,139,Clear,22,1,11
4.8619,61.4224,209,Detour,19,2,9
84.0872,85.2383,189,Detour,26,2,9
11.5213,-168.4741,104,Detour,24,2,1
63.7701,163.2651,198,Heavy,29,3,10
57.5757,-35.0439,219,Heavy,24,3,10
-66.6009,-11.7155,259,Clear,58,1,16
18.755,-46.8871,200,Detour,11,2,1
50.3574,128.5618,268,Heavy,20,3,13
46.9009,3.749,182,Detour,31,2,1
17.5319,-65.0765,128,Clear,30,1,11
4.8305,-6.5757,247,Clear,51,1,16
38.8917,-38.8032,238,Detour,24,2,15
-20.0482,-83.6915,111,Heavy,32,3,7
-83.2534,-166.3309,269,Clear,10,1,2
-4.8643,75.4304,102,Clear,23,1,11
46.7637,-146.4348,146,Clear,41,1,3
-68.3909,-122.557,178,Heavy,58,3,14
62.3457,-54.2033,282,Heavy,58,3,0
72.8857,135.9494,165,Heavy,33,3,10
2.2782,-158.4628,135,Heavy,19,3,7
11.7686,154.6043,109,Detour,12,2,6
-75.598,11.134,181,Heavy,53,3,14
23.2931,106.0267,205,Detour,42,2,4
-11.3114,-139.811,160,Clear,20,1,11
9.6491,47.3499,231,Heavy,50,3,0
10.9354,-27.3551,247,Heavy,14,3,13
84.9482,59.5314,288,Clear,51,1,17
49.7212,179.2025,135,Detour,47,2,12
-28.8968,-117.9471,213,Clear,48,1,16
-55.5154,-163.6943,133,Detour,31,2,1
16.7636,29.2783,203,Heavy,12,3,10
-76.307,5.0298,184,Heavy,19,3,10
-22.4693,149.9634,152,Clear,41,1,3
71.8859,93.4464,212,Heavy,50,3,0
-9.7179,-117.0145,109,Detour,31,2,1
-12.2288,-74.7801,162,Clear,41,1,3
5.4618,-179.8202,214,Clear,26,1,15
-54.8317,66.4706,256,Detour,25,2,8
-80.0522,-102.2508,141,Detour,52,2,14
-13.0527,-122.0924,176,Detour,22,2,1
6.3666,136.0794,165,Detour,45,2,6
83.1243,48.4325,228,Detour,52,2,4
51.1898,25.5964,116,Heavy,39,3,12
-76.3987,-68.1922,226,Clear,48,1,16
70.5541,-150.1626,230,Clear,16,1,15
-38.2185,104.1667,177,Detour,19,2,9
39.1411,138.1786,200,Heavy,33,3,10
-68.8006,159.004,240,Clear,43,1,17
51.1598,-170.9311,151,Heavy,14,3,7
-29.5867,41.0612,249,Heavy,49,3,0
-51.3412,-112.1636,107,Clear,21,1,11
-49.5057,174.3533,148,Clear,37,1,3
0.7577,120.0181,134,Heavy,29,3,7
-2.2911,64.2731,249,Detour,36,2,8
78.4324,125.0181,271,Detour,36,2,8
-2.8329,-29.9102,143,Detour,39,2,6
70.0103,-164.1914,255,Detour,25,2,15
11.4885,-172.569,234,Detour,31,2,5
74.5261,123.6828,196,Detour,47,2,4
-12.9509,132.4986,197,Detour,18,2,9
81.79,-52.7516,123,Heavy,58,3,12
47.7175,72.531,263,Detour,34,2,8
-21.5329,-145.2581,271,Heavy,54,3,0
-4.5863,71.7337,187,Detour,23,2,9
-26.6775,-77.2847,270,Clear,56,1,16
-30.6957,29.255,183,Detour,42,2,14
64.5212,-83.2639,240,Detour,35,2,4
68.181,-84.9051,255,Clear,31,1,15
-81.2116,13.9727,290,Clear,36,1,2
-21.308,-14.9017,234,Heavy,11,3,13
77.2059,-132.0473,101,Detour,54,2,12
21.4872,-123.6879,251,Detour,23,2,15
47.7603,-137.0932,280,Detour,53,2,5
-4.7971,56.411,132,Heavy,55,3,12
-11.1333,-40.0454,206,Clear,35,1,16
15.5083,115.4388,285,Detour,56,2,17
-70.6858,54.4683,264,Heavy,36,3,13
-18.4278,101.4997,171,Detour,38,2,6
43.7523,149.8334,201,Detour,42,2,4
18.5151,24.3559,282,Detour,39,2,8
84.6774,61.0153,249,Detour,50,2,4
49.5864,-154.4224,268,Detour,59,2,5
-51.319,-46.5841,132,Heavy,26,3,7
-12.9902,176.1206,156,Heavy,12,3,10
6.8181,52.3685,192,Clear,33,1,9
-3.038,106.5694,104,Clear,48,1,3
35.5141,90.8087,296,Detour,17,2,8
-40.8724,-42.3243,136,Clear,16,1,11
44.6347,-110.6304,136,Detour,47,2,12
76.5468,-13.5249,105,Clear,24,1,11
72.8206,90.5169,254,Detour,32,2,8
81.2554,4.8416,244,Heavy,51,3,0
74.9107,17.8019,185,Clear,40,1,3
20.446,149.3776,162,Clear,12,1,9
-60.7101,-29.4842,300,Heavy,49,3,0
74.2314,-113.7355,154,Detour,21,2,1
16.9737,-7.8198,286,Detour,44,2,5
35.8055,-41.1532,125,Clear,54,1,3
6.7867,-133.6343,228,Clear,25,1,15
6.184,36.1898,226,Detour,24,2,9
-75.0605,-52.5256,203,Clear,56,1,16
-77.891,-96.7804,122,Clear,54,1,3
-47.154,6.9021,118,Heavy,50,3,14
76.1715,-0.0071,162,Heavy,17,3,7
-85.8283,163.4575,273,Clear,41,1,17
6.009,-33.838,215,Heavy,23,3,10
3.8184,139.4876,154,Heavy,25,3,10
66.3417,-154.1243,131,Detour,16,2,1
-61.8623,113.6304,157,Clear,43,1,3
44.502,66.5819,242,Heavy,54,3,0
-12.2885,38.4287,270,Clear,50,1,17
-40.8275,-46.7423,145,Clear,51,1,3
-76.5757,-52.269,140,Clear,16,1,11
-79.279,69.568,297,Heavy,16,3,13
84.3451,-106.877,212,Clear,48,1,4
-19.0721,161.7246,174,Detour,52,2,6
-69.0311,-32.9575,300,Clear,21,1,2
87.7793,-108.9268,199,Detour,23,2,1
-48.3633,-36.2936,248,Clear,58,1,16
-36.4104,-4.335,164,Heavy,20,3,7
-39.225,-156.4228,269,Clear,10,1,2
84.0407,-74.7098,103,Clear,52,1,3
-68.5324,127.5394,168,Detour,49,2,6
-8.4586,44.4779,199,Detour,35,2,9
14.0092,-131.9758,297,Clear,34,1,15
3.6602,107.779,240,Heavy,16,3,13
29.342,-68.5682,231,Clear,36,1,15
-20.6524,-102.5762,290,Heavy,26,3,13
-88.696,117.3902,126,Heavy,37,3,6
-27.0315,40.2451,109,Clear,14,1,11
25.5135,-147.3897,106,Clear,17,1,11
68.4014,-52.0862,286,Clear,54,1,17
-7.1543,-132.8372,100,Clear,25,1,11
-78.2763,151.3943,284,Clear,57,1,17
33.9665,-46.5423,224,Heavy,41,3,0
-59.6899,143.0428,215,Detour,41,2,9
25.7047,150.6302,277,Clear,32,1,17
15.4009,52.3537,156,Heavy,54,3,12
-86.7799,-102.1496,279,Clear,10,1,2
40.3406,159.0723,102,Heavy,35,3,12
40.4005,-149.1521,189,Detour,18,2,1
-85.1352,73.2511,249,Clear,28,1,2
-1.28,1.0168,229,Heavy,12,3,13
45.2617,-152.3952,270,Detour,44,2,5
-14.7713,-117.3565,159,Clear,35,1,11
51.4225,112.3362,252,Detour,50,2,4
-15.2991,-95.0112,147,Heavy,15,3,7
86.6678,-139.6955,115,Detour,47,2,12
44.5442,-73.4346,145,Detour,39,2,1
-48.4503,-99.9978,104,Detour,16,2,11
-37.3934,31.4093,184,Heavy,24,3,10
34.0712,123.0237,238,Clear,58,1,17
-21.5633,-12.8487,262,Heavy,19,3,13
-33.3756,7.8261,106,Detour,41,2,6
-61.849,-123.7835,247,Clear,39,1,16
88.5686,-161.7382,160,Detour,12,2,1
-69.408,-8.1703,107,Detour,28,2,6
-49.1524,14.1164,163,Clear,30,1,11
27.787,8.2288,207,Heavy,51,3,0
-13.8485,119.2071,292,Clear,38,1,17
25.5003,-47.5718,128,Heavy,60,3,12
69.4106,61.7368,105,Heavy,50,3,12
-6.8964,-35.5418,234,Detour,24,2,8
-0.1148,-127.6784,160,Heavy,41,3,14
-41.4279,178.8694,138,Clear,51,1,3
-0.9333,124.8495,226,Clear,34,1,9
-58.2175,7.2699,247,Heavy,58,3,0
83.3287,-84.2738,131,Clear,47,1,3
-33.2637,45.4122,133,Detour,34,2,6
74.3356,112.5528,125,Detour,58,2,12
-53.3015,11.4861,110,Heavy,35,3,7
-22.5519,60.711,120,Detour,57,2,6
61.697,164.5493,225,Clear,40,1,9
-75.2867,-163.4,168,Detour,13,2,1
87.1386,-114.968,265,Detour,31,2,15
51.2486,-41.4882,147,Detour,13,2,1
-19.8201,2.4374,168,Detour,18,2,1
-13.561,-52.5469,225,Detour,24,2,9
51.4883,105.7445,274,Heavy,25,3,13
21.5738,-95.1501,242,Heavy,36,3,0
-31.8174,59.5716,112,Heavy,54,3,12
-76.0304,112.9276,173,Clear,48,1,3
47.5481,-97.4831,212,Heavy,48,3,0
77.8751,144.04,145,Detour,45,2,12
-56.6674,-50.0426,129,Detour,53,2,6
62.0999,-9.5972,256,Detour,59,2,4
57.9908,-117.5288,181,Detour,16,2,1
73.1274,-63.9399,159,Detour,22,2,1
-28.6949,-110.5161,139,Detour,24,2,1
-28.9152,114.375,221,Detour,32,2,9
83.9488,131.1197,160,Detour,46,2,12
52.1635,10.8296,158,Clear,54,1,3
36.5185,-71.9718,298,Heavy,10,3,13
-10.8232,144.0982,225,Heavy,30,3,10
-37.9195,-99.3768,268,Detour,50,2,5
-7.2984,-44.5918,202,Heavy,32,3,10
13.6845,-126.4199,291,Detour,19,2,15
-70.6428,166.3723,256,Detour,35,2,8
-19.3929,-10.2537,108,Heavy,22,3,7
-32.5141,-170.9566,283,Detour,18,2,2
59.3783,74.9628,120,Detour,35,2,12
-36.2517,72.4728,173,Heavy,46,3,14
-55.9854,-149.8958,237,Detour,24,2,2
27.3259,-116.2066,275,Detour,11,2,15
27.7357,-170.5766,241,Detour,11,2,15
23.2023,92.2763,141,Clear,35,1,3
87.5129,-65.0922,287,Clear,20,1,15
81.1975,137.0497,177,Detour,59,2,4
55.919,-39.578,281,Clear,10,1,15
-15.3314,22.397,270,Clear,34,1,17
-55.3603,79.1276,232,Clear,49,1,16
8.3934,-165.2068,125,Detour,25,2,1
27.499,-98.0697,127,Heavy,16,3,7
14.687,-33.9771,180,Detour,21,2,1
19.3645,-149.4523,122,Heavy,27,3,7
38.0858,-149.297,158,Detour,18,2,1
4.379,97.6354,142,Heavy,20,3,7
-28.8542,119.5019,242,Clear,19,1,2
-17.5843,-151.1609,239,Detour,44,2,5
15.5281,-170.3941,127,Heavy,30,3,7
-83.8983,-128.1642,265,Heavy,25,3,13
-25.4823,169.1921,251,Clear,43,1,17
-69.493,-118.9742,122,Heavy,44,3,14
-8.0714,-158.0304,140,Heavy,50,3,14
-59.9919,-162.9143,237,Heavy,40,3,5
-47.5239,58.4771,230,Heavy,22,3,10
-39.8052,-126.4073,147,Detour,25,2,1
54.0537,-145.9922,162,Detour,17,2,1
7.0591,46.7188,282,Heavy,40,3,0
-50.3633,99.5834,183,Detour,54,2,14
51.9327,-102.4309,122,Clear,29,1,11
-36.487,14.5024,221,Clear,29,1,9
27.2654,-34.1042,107,Clear,40,1,3
15.2159,-55.6814,256,Clear,47,1,16
27.4437,43.3224,110,Clear,33,1,11
-58.6928,165.8667,203,Heavy,32,3,10
-38.0737,56.0723,299,Detour,13,2,8
-50.6778,-102.041,271,Heavy,55,3,0
-88.776,-125.1628,113,Heavy,59,3,14
69.691,148.6549,299,Clear,36,1,17
-82.2616,-141.825,290,Clear,31,1,2
2.7286,-99.5442,140,Clear,42,1,3
84.2498,-60.8861,238,Clear,19,1,15
8.7621,-2.9218,202,Clear,58,1,16
-59.0753,68.4886,297,Detour,50,2,17
5.7218,-96.5806,122,Clear,57,1,3
-38.3158,-38.3257,261,Detour,31,2,5
-87.4042,-127.3269,211,Heavy,41,3,14
-77.3648,30.9744,225,Clear,37,1,16
-73.0477,124.7969,217,Clear,23,1,9
-27.576,-111.3158,287,Detour,18,2,2
49.9465,-30.0236,100,Clear,49,1,3
-50.6856,-9.6236,114,Heavy,51,3,14
84.1122,-87.899,123,Detour,47,2,12
49.9197,79.4653,271,Clear,60,1,17
-44.6254,44.0876,132,Detour,26,2,6
-57.3005,-23.6888,228,Clear,12,1,2
-47.5698,-81.3143,223,Heavy,44,3,0
-80.2675,-80.5726,294,Heavy,34,3,13
-70.3213,-61.9179,149,Detour,43,2,14
48.2512,-106.6383,133,Heavy,50,3,12
-74.6749,-159.7164,208,Detour,11,2,2
-46.0132,-8.5335,100,Clear,19,1,11
9.3294,-71.5299,256,Heavy,36,3,0
5.0095,-113.8279,260,Heavy,56,3,0
-70.8094,75.1094,171,Heavy,22,3,10
-43.2472,163.3821,283,Detour,58,2,17
28.1016,167.1982,206,Clear,32,1,9
-56.2187,27.6037,202,Heavy,55,3,14
65.0538,-146.3887,171,Heavy,54,3,12
-30.299,153.4529,222,Detour,20,2,9
72.7626,105.821,137,Detour,49,2,12
61.8446,115.5236,247,Heavy,60,3,0
-31.1792,-46.048,277,Detour,33,2,5
-43.2004,134.8572,111,Clear,51,1,3
-79.6372,-111.7492,184,Detour,10,2,1
66.838,-175.1681,142,Heavy,22,3,7
13.7736,12.9911,110,Detour,51,2,12
-66.2696,-82.0579,299,Heavy,34,3,13
5.1238,-67.8583,234,Detour,41,2,5
-85.8715,-162.7167,209,Clear,46,1,16
86.2679,-50.7895,224,Heavy,49,3,0
21.3104,-80.5292,213,Heavy,54,3,0
-2.2841,23.4152,215,Heavy,54,3,0
-23.4709,54.5265,262,Heavy,43,3,0
44.5052,-178.7281,105,Heavy,16,3,7
-8.1413,92.8681,199,Detour,18,2,9
0.7118,108.5142,164,Heavy,18,3,10
43.2255,-143.0415,276,Heavy,14,3,13
61.8047,-72.1219,199,Clear,50,1,4
-42.6929,46.2525,148,Heavy,16,3,7
-78.0755,-11.8927,124,Detour,34,2,6
65.5547,-128.3673,157,Detour,38,2,1
-19.5574,-65.5493,191,Clear,32,1,9
17.7083,-162.0043,183,Heavy,22,3,7
-52.1686,-175.6269,172,Clear,29,1,11
-84.2375,76.9339,157,Clear,43,1,3
-7.599,-78.7489,153,Heavy,41,3,14
36.621,97.2194,212,Detour,32,2,9
-7.9899,-23.5723,243,Clear,24,1,2
-68.5749,106.2112,189,Detour,53,2,14
-86.6472,76.1641,122,Detour,41,2,6
-20.073,169.5863,245,Detour,37,2,8
8.0303,137.6073,285,Clear,57,1,17
-58.6706,162.7699,118,Clear,44,1,3
63.6092,-40.4852,295,Detour,29,2,8
69.9178,-25.7593,201,Clear,18,1,15
27.3884,-85.6938,270,Clear,16,1,15
5.5363,-6.3698,131,Heavy,11,3,7
-47.9174,-44.4673,117,Heavy,25,3,7
-58.2884,-53.9833,147,Clear,60,1,3
44.4715,61.1203,119,Detour,30,2,6
-73.5735,153.529,221,Detour,24,2,9
-39.3967,15.6452,118,Heavy,29,3,7
-46.8183,81.9142,220,Clear,34,1,9
57.3299,-54.7962,111,Detour,43,2,12
86.1935,59.4987,280,Detour,15,2,8
59.8543,-132.3865,254,Clear,22,1,15
-41.7908,84.2001,206,Detour,33,2,9
-3.7401,43.2693,251,Detour,47,2,5
-27.0196,-24.081,149,Detour,52,2,14
-53.7107,-60.5951,231,Clear,48,1,16
65.9866,135.5421,125,Heavy,50,3,12
-77.8133,-89.1179,179,Detour,33,2,14
22.3036,59.4689,191,Detour,11,2,9
-10.2023,76.7946,294,Clear,10,1,2
-9.1011,102.9819,240,Detour,45,2,4
-85.2973,149.0859,286,Heavy,39,3,13
-13.1977,107.4226,120,Clear,37,1,3
-77.327,-33.6001,274,Detour,16,2,2
-36.3388,69.5488,106,Heavy,60,3,12
-35.4951,105.3877,190,Clear,38,1,9
-50.7255,49.2993,143,Detour,42,2,6
-85.6005,35.8883,132,Clear,30,1,11
-15.3475,13.3516,172,Clear,31,1,11
36.4573,-60.8255,296,Detour,23,2,8
40.9268,-145.299,123,Heavy,50,3,12
-66.0724,48.2597,138,Detour,14,2,6
24.1971,18.693,243,Detour,21,2,8
46.8609,37.8235,145,Detour,33,2,1
-56.7854,25.8691,300,Heavy,22,3,13
-35.4329,9.9153,206,Heavy,19,3,10
63.6965,-131.1519,199,Clear,23,1,15
